Actual_LTV,Predicted_LTV,Prediction_Error,LTV_Segment
1430.65,1442.753794968787,-12.103794968787042,Medium LTV
19.3,-43.77688231571456,63.07688231571456,Low LTV
2973.75,2943.943744019387,29.80625598061306,High LTV
481.2000000000001,405.4208171294276,75.77918287057241,Low LTV
4138.85,4147.447466395179,-8.597466395178344,High LTV
980.0,987.0028761075496,-7.002876107549582,Medium LTV
952.75,973.5443121608428,-20.794312160842765,Medium LTV
3481.6,3440.886498850528,40.713501149472,High LTV
970.2,958.1571172432652,12.042882756734798,Medium LTV
4709.25,4553.8912174910565,155.35878250894348,High LTV
4427.5,4444.359804242449,-16.859804242449172,High LTV
1300.2,1304.49663564572,-4.296635645720016,Medium LTV
74.4,14.391690332891224,60.00830966710878,Low LTV
1206.55,1224.7389418684977,-18.188941868497523,Medium LTV
5349.849999999999,5334.573323550012,15.276676449987464,High LTV
838.4499999999999,838.2715914452557,0.1784085547442373,Low LTV
1165.25,1199.541688864913,-34.29168886491311,Medium LTV
275.0,288.56014791827465,-13.560147918274652,Low LTV
828.0,917.0523454722756,-89.05234547227553,Medium LTV
1139.6999999999998,1187.70742036723,-48.00742036723023,Medium LTV
1161.0,1202.7647039822386,-41.76470398223864,Medium LTV
65.55,-70.87255715683654,136.42255715683655,Low LTV
1212.0,1170.050792907629,41.9492070923709,Medium LTV
63.1,-125.78466685746388,188.88466685746388,Low LTV
291.0,310.6745210877183,-19.67452108771829,Low LTV
430.75,348.7057479702261,82.04425202977387,Low LTV
116.85,-10.94314747944469,127.79314747944468,Low LTV
2833.5,2874.5336445319704,-41.03364453197037,High LTV
1293.5,1334.6468756500567,-41.1468756500567,Medium LTV
84.8,76.85347487528213,7.946525124717866,Low LTV
2205.2000000000003,2200.9819491481835,4.21805085181677,Medium LTV
109.75,16.44274518851558,93.30725481148444,Low LTV
4783.200000000001,4749.834317891753,33.36568210824771,High LTV
5011.65,4992.941218866097,18.70878113390245,High LTV
761.85,748.1801484363374,13.669851563662633,Low LTV
3732.4,3757.176198397453,-24.77619839745239,High LTV
547.4,587.0671999320822,-39.66719993208221,Low LTV
110.3,22.02637017982457,88.27362982017542,Low LTV
388.8,475.2761857920776,-86.47618579207756,Low LTV
97.85,247.0293809786221,-149.1793809786221,Low LTV
1040.0,1032.872098019861,7.127901980139086,Medium LTV
99.7,228.92568601859605,-129.22568601859604,Low LTV
1183.1999999999998,1193.8371174762383,-10.6371174762387,Medium LTV
480.0,498.6913578354742,-18.691357835474207,Low LTV
872.9999999999999,872.9464225461979,0.0535774538019495,Low LTV
2191.5,2085.721231264749,105.7787687352511,Medium LTV
3978.0,3980.356341138544,-2.356341138544394,High LTV
222.3,327.7193597733167,-105.4193597733167,Low LTV
1388.05,1400.7940450988026,-12.744045098802644,Medium LTV
2130.0,2125.507698806437,4.492301193563435,Medium LTV
2579.2000000000003,2637.6112628764195,-58.41126287641919,High LTV
2247.5,2245.222860969864,2.2771390301359133,Medium LTV
1893.6,1923.3709067886157,-29.77090678861532,Medium LTV
2129.4,2127.048454120569,2.351545879430887,Medium LTV
1926.75,1926.6900125507768,0.059987449223172,Medium LTV
1653.3000000000002,1604.6315763489276,48.668423651072544,Medium LTV
1584.0,1589.611224344521,-5.611224344520679,Medium LTV
2076.8,1895.0214267789236,181.77857322107684,Medium LTV
4800.0,4723.00232192662,76.99767807337957,High LTV
1413.6,1473.5330920064175,-59.93309200641761,Medium LTV
714.0,664.6260795828854,49.37392041711462,Low LTV
47.05,137.35188226065387,-90.30188226065388,Low LTV
4343.85,4350.826224124481,-6.976224124480723,High LTV
2282.75,2237.4054187775287,45.34458122247133,Medium LTV
115.75,-56.09223173434154,171.84223173434154,Low LTV
19.45,1.3047609206834778,18.14523907931652,Low LTV
3118.05,3244.033982982355,-125.98398298235544,High LTV
1034.4,991.2163039336888,43.18369606631131,Medium LTV
1551.6,1693.1982227187805,-141.5982227187803,Medium LTV
2296.0,2415.9765735410883,-119.97657354108831,High LTV
3530.8,3465.4597848665826,65.34021513341713,High LTV
97.95,-18.981425149819245,116.93142514981923,Low LTV
1244.25,1233.6126714044196,10.637328595580357,Medium LTV
640.15,617.1309473822225,23.019052617777447,Low LTV
455.85,433.6296176852467,22.22038231475324,Low LTV
3874.3,3820.220119192808,54.079880807191785,High LTV
2299.55,2250.842115373884,48.70788462611563,Medium LTV
814.5,889.8953504937191,-75.39535049371909,Low LTV
114.65,-28.43693035771811,143.08693035771813,Low LTV
1153.6,1162.1414077749416,-8.54140777494149,Medium LTV
4622.4,4554.590107101483,67.80989289851641,High LTV
1379.7,1380.9212776273794,-1.2212776273793224,Medium LTV
1383.0,1574.530050709047,-191.5300507090469,Medium LTV
87.1,74.97858284479564,12.121417155204355,Low LTV
1262.5,1262.1379429854612,0.3620570145387773,Medium LTV
3532.25,3533.7622963226345,-1.5122963226344837,High LTV
496.0,550.4759426984218,-54.47594269842182,Low LTV
2031.0,1987.6096473701984,43.39035262980156,Medium LTV
4660.400000000001,4647.676457822021,12.723542177979652,High LTV
341.1,323.46804108962954,17.63195891037043,Low LTV
135.9,241.05033687423773,-105.15033687423772,Low LTV
1434.2,1446.0557622714266,-11.855762271426556,Medium LTV
4413.7,4421.781262943176,-8.081262943175716,High LTV
2327.5,2406.309885538268,-78.80988553826774,High LTV
1598.4,1512.0168985355044,86.38310146449567,Medium LTV
2088.6,2115.24875694849,-26.648756948490245,Medium LTV
5033.599999999999,5113.936811405119,-80.33681140511999,High LTV
1824.7,1844.5682008988988,-19.86820089889875,Medium LTV
2467.9,2465.819486418402,2.0805135815976428,High LTV
4735.549999999999,4734.476911870697,1.0730881293020502,High LTV
1494.55,1507.127500073718,-12.577500073718056,Medium LTV
1290.3,1305.5365405469051,-15.23654054690519,Medium LTV
1235.0,1312.1482682101496,-77.14826821014958,Medium LTV
58.25,60.6588369828703,-2.408836982870298,Low LTV
3212.75,3210.039398477089,2.71060152291102,High LTV
882.4,978.1813727362425,-95.78137273624236,Medium LTV
1595.0,1542.4603195399382,52.539680460061845,Medium LTV
6548.1,6529.448380813687,18.65161918631384,High LTV
1331.7,1348.378984931608,-16.67898493160783,Medium LTV
1393.0,1396.5141155000845,-3.514115500084472,Medium LTV
580.75,602.7461062043368,-21.9961062043368,Low LTV
115.8,-33.71495674263856,149.51495674263856,Low LTV
271.0,288.6981000016218,-17.69810000162181,Low LTV
700.1999999999999,656.4077619876473,43.79223801235264,Low LTV
2372.5,2224.32670710473,148.17329289527015,Medium LTV
4125.900000000001,4092.6633768104593,33.236623189541206,High LTV
2380.5,2364.82161666671,15.678383333290183,High LTV
4156.55,4206.092313245572,-49.54231324557168,High LTV
19.8,19.47660853882409,0.3233914611759054,Low LTV
816.8,852.7984407636992,-35.99844076369925,Low LTV
6544.65,6461.827521345371,82.82247865462887,High LTV
273.29999999999995,238.51376886651963,34.7862311334803,Low LTV
365.4,323.8207854351871,41.57921456481296,Low LTV
1582.75,1618.7850079541904,-36.035007954190405,Medium LTV
1439.25,1437.6476429416148,1.6023570583852234,Medium LTV
2205.0,2229.3392264808817,-24.33922648088173,Medium LTV
3019.2,3055.478304642707,-36.2783046427071,High LTV
131.85000000000002,212.78182770294453,-80.9318277029445,Low LTV
73.35,32.04881207765566,41.30118792234433,Low LTV
2542.7000000000003,2523.9978992726965,18.702100727303787,High LTV
2228.35,2262.4096304687187,-34.05963046871875,Medium LTV
1635.0,1613.1092875075867,21.89071249241329,Medium LTV
3825.25,3759.403122214655,65.84687778534544,High LTV
3180.8,3188.362109013592,-7.562109013591908,High LTV
1440.0,1467.360906418271,-27.360906418271043,Medium LTV
20.5,-40.57662558343415,61.07662558343415,Low LTV
1289.6,1307.0009076616825,-17.400907661682595,Medium LTV
4832.1,4840.004011273592,-7.904011273591095,High LTV
1243.1,1240.9048282130966,2.195171786903529,Medium LTV
2831.4,3006.4884498771903,-175.0884498771902,High LTV
1162.9,1158.6771839625956,4.222816037404527,Medium LTV
1185.6,1217.8441747043776,-32.244174704377656,Medium LTV
1131.0,1139.5278901525785,-8.527890152578493,Medium LTV
369.0,429.7951176453775,-60.795117645377445,Low LTV
5275.3,5254.375967173313,20.92403282668693,High LTV
2761.5,2703.438270733521,58.06172926647878,High LTV
114.6,199.5046555451109,-84.90465554511087,Low LTV
25.55,-37.77736178757431,63.327361787574304,Low LTV
4748.1,4874.71713258174,-126.6171325817395,High LTV
24.75,-65.26548956602718,90.01548956602718,Low LTV
49.4,80.46904018392162,-31.069040183921626,Low LTV
4013.6,4021.955949201663,-8.355949201662497,High LTV
4280.7,4237.44639582367,43.253604176329645,High LTV
675.95,686.1093960480691,-10.159396048069084,Low LTV
2183.8,2211.159679007203,-27.35967900720334,Medium LTV
50.3,12.12586158500978,38.17413841499022,Low LTV
24.45,69.68448037910447,-45.23448037910447,Low LTV
3731.9,3745.736257933423,-13.836257933422983,High LTV
1537.2,1509.205123634055,27.994876365944947,Medium LTV
867.9000000000001,811.8955183559872,56.00448164401291,Low LTV
3804.5,3791.667567628577,12.832432371422785,High LTV
1446.6999999999998,1491.4210181594667,-44.721018159466894,Medium LTV
